Customer_ID,Age,Gender,Annual_Income,Employment_Status,Credit_Score,Total_Debt,Debt_to_Income_Ratio,Credit_Card_Limit,Credit_Utilization_Rate,Late_Payments_30_Days,Late_Payments_90_Days,Default_Status,Loan_Purpose
CUST-1198,41,Female,64677.8,Employed,694,15690.83,0.2426,10121.21,0.2531,0,0,0,Auto
CUST-1199,31,Male,34232.81,Student,732,6993.76,0.2043,9479.59,0.2957,0,0,0,Debt Consolidation
CUST-1200,41,Female,56745.74,Employed,791,20246.88,0.3568,9211.29,0.4562,0,0,0,Auto
CUST-1201,30,Female,44773.73,Employed,687,2883.43,0.0644,9005.06,0.3108,0,0,0,Personal
CUST-1202,35,Male,144491.57,Self-Employed,657,76031.46,0.5262,26455.82,0.6824,0,0,0,Small Business
CUST-1203,44,Female,47100.26,Employed,641,4775.97,0.1014,8181.79,0.4055,0,0,0,Debt Consolidation
CUST-1204,49,Female,43726.72,Unemployed,430,25921.2,0.5928,3060.17,0.8066,3,2,1,Debt Consolidation
CUST-1205,22,Male,77929.09,Employed,563,19412.14,0.2491,9187.57,0.6148,0,0,0,Personal
CUST-1206,39,Female,53068.4,Employed,814,10571.23,0.1992,8716.53,0.3846,0,0,0,Debt Consolidation
CUST-1207,38,Male,87749.84,Employed,688,31510.97,0.3591,15176.1,0.5271,0,0,0,Home Improvement
CUST-1208,42,Male,68292.0,Employed,678,19674.93,0.2881,12057.13,0.3793,0,0,0,Small Business
CUST-1209,21,Male,35138.12,Employed,713,10158.43,0.2891,8668.38,0.4591,0,0,0,Home Improvement
CUST-1210,37,Female,55514.29,Self-Employed,586,14328.24,0.2581,9492.73,0.5816,0,0,0,Home Improvement
CUST-1211,47,Male,27093.67,Student,626,4481.29,0.1654,5942.0,0.4549,2,0,0,Auto
CUST-1212,53,Female,90132.64,Employed,555,22551.19,0.2502,11098.22,0.6642,1,0,0,Home Improvement
CUST-1213,48,Female,98528.3,Self-Employed,660,29844.22,0.3029,12802.59,0.3187,0,0,0,Auto
CUST-1214,51,Female,26240.86,Student,624,6557.59,0.2499,5487.49,0.5774,3,0,0,Small Business
CUST-1215,35,Male,32840.24,Self-Employed,603,10607.4,0.323,5351.61,0.6107,0,0,0,Auto
CUST-1216,24,Female,41933.68,Self-Employed,742,14240.68,0.3396,11133.01,0.4344,0,0,0,Personal
CUST-1217,40,Male,39833.87,Unemployed,558,12232.98,0.3071,7206.55,0.6924,5,0,1,Home Improvement
CUST-1218,60,Female,59594.92,Employed,598,20441.06,0.343,8291.9,0.484,6,2,1,Auto
CUST-1219,25,Male,61172.82,Employed,662,3058.64,0.05,10723.05,0.3802,0,0,0,Debt Consolidation
CUST-1220,38,Male,78695.44,Employed,621,22499.03,0.2859,14375.74,0.4897,0,0,0,Home Improvement
CUST-1221,24,Male,88324.51,Employed,612,21365.7,0.2419,12803.53,0.5113,1,0,0,Personal
CUST-1222,51,Male,57815.83,Employed,633,16997.85,0.294,8158.57,0.6098,0,0,0,Auto
CUST-1223,56,Female,65348.9,Self-Employed,643,16043.15,0.2455,6320.29,0.4716,0,0,0,Debt Consolidation
CUST-1224,48,Male,36073.59,Self-Employed,718,9509.0,0.2636,10062.68,0.4573,0,0,0,Home Improvement
CUST-1225,58,Female,126365.19,Self-Employed,519,61274.48,0.4849,12272.32,0.5564,2,0,0,Debt Consolidation
CUST-1226,33,Female,48419.96,Employed,780,13552.75,0.2799,12873.29,0.2935,0,0,0,Debt Consolidation
CUST-1227,44,Female,131313.24,Employed,730,36728.31,0.2797,17835.99,0.2794,0,0,0,Personal
CUST-1228,52,Male,70172.49,Employed,579,16848.41,0.2401,8145.05,0.3924,4,0,0,Small Business
CUST-1229,35,Female,44339.19,Employed,778,5905.98,0.1332,10387.56,0.3317,0,0,0,Home Improvement
CUST-1230,41,Female,109517.03,Employed,761,11039.32,0.1008,22816.68,0.4011,0,0,0,Home Improvement
CUST-1231,59,Male,90324.53,Employed,775,26970.9,0.2986,21233.78,0.3793,0,0,0,Personal
CUST-1232,37,Male,42644.8,Employed,687,4191.98,0.0983,6845.44,0.5451,0,0,0,Auto
CUST-1233,39,Male,102204.23,Self-Employed,619,34381.5,0.3364,12395.47,0.4029,6,1,0,Small Business
CUST-1234,24,Male,72671.49,Self-Employed,572,19664.91,0.2706,6824.22,0.5042,1,0,0,Personal
CUST-1235,51,Female,59276.03,Employed,673,13621.63,0.2298,10895.53,0.5176,0,0,0,Home Improvement
CUST-1236,21,Female,35660.9,Employed,747,8558.62,0.24,9183.71,0.3065,0,0,0,Home Improvement
CUST-1237,31,Male,98538.91,Employed,725,5774.38,0.0586,23966.45,0.334,0,0,0,Debt Consolidation
CUST-1238,41,Male,79889.95,Employed,619,29495.37,0.3692,15761.7,0.6411,1,0,0,Home Improvement
CUST-1239,50,Female,28838.01,Employed,594,3760.48,0.1304,5327.37,0.3529,0,0,0,Small Business
CUST-1240,63,Female,47364.57,Self-Employed,744,3883.89,0.082,10337.43,0.2306,0,0,0,Debt Consolidation
CUST-1241,38,Male,41676.71,Employed,811,4163.5,0.0999,10158.0,0.2753,0,0,0,Debt Consolidation
CUST-1242,38,Male,98972.82,Employed,751,22229.3,0.2246,13814.83,0.6325,0,0,0,Auto
CUST-1243,38,Male,86418.79,Employed,676,6965.35,0.0806,8670.11,0.3238,0,0,0,Small Business
CUST-1244,41,Male,70657.99,Employed,542,21063.15,0.2981,8783.63,0.5064,1,1,0,Personal
CUST-1245,27,Female,103395.89,Employed,534,56361.1,0.5451,14618.81,0.5324,2,1,1,Debt Consolidation
CUST-1246,45,Female,34182.13,Student,600,6768.06,0.198,4397.02,0.3782,1,1,0,Auto
CUST-1247,35,Male,73301.69,Employed,699,28851.55,0.3936,10559.84,0.5491,0,0,0,Personal
CUST-1248,32,Female,56358.77,Employed,645,15628.29,0.2773,8363.76,0.5371,3,0,0,Debt Consolidation
CUST-1249,27,Male,31274.79,Self-Employed,695,9463.75,0.3026,6347.42,0.4641,0,0,0,Small Business
